Код,Наименование (англ.),Наименование,Страна,Направление
"854160, 854190","Surface acoustic wave and surface skimming (shallow bulk) acoustic wave devices,
                                    having
                                    either of the following:","Поверхностно-акустические волновые и поверхностные (мелководные объемные)
                                    акустические
                                    волновые устройства, имеющие одно из следующего:",EU,Экспорт в РФ
"854160, 854191",A carrier frequency exceeding 1 GHz,"Несущая частота, превышающая 1 ГГц или",EU,Экспорт в РФ
"854160, 854192",A carrier frequency of 1 GHz or less and,Несущая частота 1 ГГц или менее и,EU,Экспорт в РФ
"854160, 854193",A frequency side-lobe rejection exceeding 55 dB,"Частота отклонения боковых лепестков, превышающая 55 дБ",EU,Экспорт в РФ
"854160, 854194","A product of the maximum delay time and bandwidth (time in microseconds and
                                    bandwidth in
                                    MHz) of more than 100 or"," Произведение максимального времени задержки и полосы пропускания (время в
                                    микросекундах
                                    и полоса пропускания в МГц) более 100 или",EU,Экспорт в РФ
"854160, 854195",A dispersive delay of more than 10 microseconds, Дисперсионная задержка более 10 микросекунд,EU,Экспорт в РФ
"8506, 8507",Cells as follows:,"Батареи, а именно:",EU,Экспорт в РФ
8506,Primary cells having an energy density of 550 Wh/kg or less at 293 K (20°C),"Первичные батареи, имеющие энергетическую плотность в 550 Втч/кг или менее при 293 К
                                    (20°С)",EU,Экспорт в РФ
8507,Secondary cells having an energy density of 350 Wh/kg or less at 293 K (20°C),"Вторичные батареи, имеющие энергетическую плотность 350 Втч/кг или менее при 293 К
                                    (20°С)",EU,Экспорт в РФ
"8504502000, 850590","Superconductive electromagnets or solenoids specially designed to be fully charged
                                    or
                                    discharged in less than one minute, having all of the following:","Сверхпроводящие электромагниты или соленоиды, специально разработанные для полной
                                    зарядки или разрядки менее чем за одну минуту, имеющие всё нижеследующее:",EU,Экспорт в РФ
"8504502000, 850591","Maximum energy delivered during the discharge divided by the duration of the
                                    discharge
                                    of more than 500 kJ per minute","Максимальная энергия, подаваемая во время разряда, деленная на продолжительность
                                    разряда
                                    более 500 кДж в минуту",EU,Экспорт в РФ
"8504502000, 850592",Inner diameter of the current carrying windings of more than 250 mm and,Внутренний диаметр токопроводящих обмоток более 250 мм и,EU,Экспорт в РФ
"8504502000, 850593","Rated for a magnetic induction of more than 8T or overall current density in the
                                    winding
                                    of more than 300 A/mm","Рассчитан на магнитную индукцию более 8Т или общую плотность тока при обмотке более
                                    300
                                    А/мм",EU,Экспорт в РФ
"8505, 8506, 8507","Circuits or systems for electromagnetic energy storage, containing components
                                    manufactured from superconductive materials specially designed for operation at
                                    temperatures below the critical temperature of at least one of their superconductive
                                    constituents, having all of the following:","Цепи или системы для накопления электромагнитной энергии, содержащие компоненты,
                                    изготовленные из сверхпроводящих материалов, специально предназначенные для работы
                                    при
                                    температурах ниже критической температуры по крайней мере одного из их
                                    сверхпроводящих
                                    компонентов, имеющие все следующие характеристики:",EU,Экспорт в РФ
"8505, 8506, 8508",Resonant operating frequencies exceeding 1 MHz,"Резонансные рабочие частоты, превышающие 1 МГц;",EU,Экспорт в РФ
"8505, 8506, 8509",A stored energy density of 1 MJ/m3 or more and,"Плотность накопленной энергии 1 МДж/м3 или более;
                                    и",EU,Экспорт в РФ
"8505, 8506, 8510",A discharge time of less than 1 ms,Время разряда менее 1 мс,EU,Экспорт в РФ
854089,"Hydrogen/hydrogen-isotope thyratrons of ceramic-metal construction and rate for a
                                    peak
                                    current of 500 A or more","Водородные/изотопные водородные тиратроны металлокерамической конструкции и
                                    рассчитаны
                                    на пиковый ток 500 А или более",EU,Экспорт в РФ
854089,Not used,Не используется,EU,Экспорт в РФ
8541409000,"Solar cells, cell-interconnect-coverglass (CIC) assemblies, solar panels, and solar
                                    arrays, which are space qualified and not controlled by 3A001.e.4","Солнечные элементы, сборки из межконнектного стекла (CIC), солнечные панели и
                                    солнечные
                                    батареи, которые являются космическими и не контролируются 3A001.e.4",EU,Экспорт в РФ
"9030, 9031","Electronic test equipment, other than those specified in the CML or in Regulation
                                    (EU)
                                    2021/821","Электронные контрольно-измерительные приборы, отличные от указанных в CML или в
                                    Регламенте (ЕС) 2021/821;",EU,Экспорт в РФ
"8525809101, 8471708000","Digital instrumentation magnetic tape data recorders having any of the following
                                    characteristics:","Записывающие устройства на магнитной ленте для цифровой измерительной аппаратуры,
                                    имеющие любую из следующих характеристик:",EU,Экспорт в РФ
"8525809101, 8471708000","A maximum digital interface transfer rate exceeding 60 Mbit/s and employing helical
                                    scan
                                    techniques","Максимальная скорость передачи данных по цифровому интерфейсу, превышающая 60 Мбит/с
                                    и
                                    использующая методы спирального сканирования",EU,Экспорт в РФ
"8525809101, 8471708000","A maximum digital interface transfer rate exceeding 120 Mbit/s and employing fixed
                                    head
                                    techniques or","Максимальная скорость передачи данных по цифровому интерфейсу, превышающая 120
                                    Мбит/с и
                                    использующая методы фиксированной головки или",EU,Экспорт в РФ
"8525809101, 8471708000",Space qualified,Для использования в космической промышленности:,EU,Экспорт в РФ
851762,"Equipment, with a maximum digital interface transfer rate exceeding 60 Mbit/s,
                                    designed
                                    to convert digital video magnetic tape recorders for use as digital instrumentation
                                    data
                                    recorders","Оборудование, с максимальной скоростью передачи цифрового интерфейса, превышающей 60
                                    Мбит/с, предназначенное для преобразования цифровых видеомагнитофонов для
                                    использования
                                    в качестве цифровых приборных регистраторов данных",EU,Экспорт в РФ
903020,Non-modular analog oscilloscopes having a bandwidth of 1 GHz or greater,"Немодульные аналоговые осциллографы, имеющие полосу пропускания 1 ГГц и более",EU,Экспорт в РФ
903020,"Modular analog oscilloscope systems having either of the following characteristics:
                                ","Модульные аналоговые осциллографные системы, имеющие одну из следующих характеристик
                                ",EU,Экспорт в РФ
903020,A mainframe with a bandwidth of 1 GHz or greater or,Майнфрейм с полосой пропускания 1 ГГц или выше или,EU,Экспорт в РФ
903020,Plug-in modules with an individual bandwidth of 4 GHz or greater,Подключаемые модули с индивидуальной полосой пропускания 4 ГГц и выше,EU,Экспорт в РФ
903020,"Analog sampling oscilloscopes for the analysis of recurring phenomena with an
                                    effective
                                    bandwidth greater than 4 GHz","Аналоговые дискретные осциллографы для анализа повторяющихся явлений с эффективной
                                    полосой пропускания более 4 ГГц",EU,Экспорт в РФ
903020,"Digital oscilloscopes and transient recorders, using analog-to-digital conversion
                                    techniques, capable of storing transients by sequentially sampling single-shot
                                    inputs at
                                    successive intervals of less than 1 ns (greater than 1 Giga Samples per Second
                                    (GSPS)),
                                    digitizing to 8 bits or greater resolution and storing 256 or more samples.","Цифровые осциллографы и регистраторы переходных процессов, использующие методы
                                    аналого-цифрового преобразования, способные хранить переходные процессы путем
                                    последовательной выборки однокадровых входов с последовательными интервалами менее 1
                                    нс
                                    (более 1 гига-сэмплов в секунду (GSPS)), оцифровывать до 8 бит или более разрешения
                                    и
                                    хранить 256 или более образцов",EU,Экспорт в РФ
850440,"Frequency changers capable of operating in the frequency range from 300 up to 600
                                    Hz,
                                    other than those specified in the CML or in Regulation (EU) 2021/821","Частотные преобразователи, способные работать в диапазоне частот от 300 до 600 Гц,
                                    кроме
                                    тех, которые указаны в CML или в Регламенте (ЕС) 2021/821",EU,Экспорт в РФ
902730,"Mass spectrometers, other than those specified in the CML or in Regulation (EU)
                                    2021/821
                                ","Масс-спектрометры, кроме указанных в ХМЛ или в Регламенте (ЕС) 2021/821",EU,Экспорт в РФ
"902219,
                                    902229","All flash x-ray machines, or components of pulsed power systems designed thereof,
                                    including Marx generators, high power pulse shaping networks, high voltage
                                    capacitors,
                                    and triggers","Все флэш-рентгеновские аппараты или компоненты спроектированных на них импульсных
                                    энергетических систем, включая генераторы Маркса, высоковольтные импульсные
                                    формирующие
                                    сети, высоковольтные конденсаторы и триггеры",EU,Экспорт в РФ
"854310, 854370300","Pulse amplifiers, other than those specified in the CML or in Regulation (EU)
                                    2021/821
                                ","Импульсные усилители, кроме указанных в CML или в Регламенте (ЕС) 2021/821",EU,Экспорт в РФ
910610,"Electronic equipment for time delay generation or time interval measurement, as
                                    follows:
                                ","Электронное оборудование для генерации временных задержек или измерения временного
                                    интервала, а именно",EU,Экспорт в РФ
910610,"Digital time delay generators with a resolution of 50 nanoseconds or less over time
                                    intervals of 1 microsecond or greater or","Цифровые генераторы временной задержки с разрешением 50 наносекунд и менее на
                                    временных
                                    интервалах 1 микросекунда и более или",EU,Экспорт в РФ
910610,"Multi-channel (three or more) or modular time interval meter and chronometry
                                    equipment
                                    with resolution of 50 nanoseconds or less over time intervals of 1 microsecond or
                                    greater","Многоканальный (три и более) или модульный измеритель временных интервалов и
                                    оборудование хронометража с разрешением 50 наносекунд или менее интервалов времени 1
                                    микросекунда и более",EU,Экспорт в РФ
"902720, 902730",Chromatography and spectrometry analytical instruments.,Аналитические приборы для хроматографии и спектрометрии,EU,Экспорт в РФ
903180,"Equipment specially designed for the manufacture of electron tubes, optical elements
                                    and
                                    specially designed components therefor controlled by 3A0011 or X.A.I.001","Оборудование, специально разработанное для изготовления электронных ламп, оптических
                                    элементов и специально разработанных для них компонентов, контролируемое по 3A001[1]
                                    или
                                    X.A.I.001",EU,Экспорт в РФ
"8486, 903180","Equipment specially designed for the manufacture of semiconductor devices,
                                    integrated
                                    circuits and electronic assemblies, as follows, and systems incorporating or having
                                    the
                                    characteristics of such equipment:"," Оборудование, специально предназначенное для изготовления полупроводниковых
                                    приборов,
                                    интегральных схем и электронных сборок, а также систем, включающих или обладающих
                                    характеристиками такого оборудования:",EU,Экспорт в РФ
"8486, 903181","Equipment for the processing of materials for the manufacture of devices and
                                    components
                                    as specified in the heading of X.B.I.001.b, as follows:","Оборудование для обработки материалов для изготовления устройств и комплектующих,
                                    указанных в товарной позиции X.B.I.001.b, а именно",EU,Экспорт в РФ
"8486, 903182","Equipment for producing polycrystalline silicon and materials controlled by 3C001
                                ","Оборудование для производства поликристаллического кремния и материалов,
                                    контролируемых
                                    3C001",EU,Экспорт в РФ
"8486, 903183","Equipment specially designed for purifying or processing III/V and II/VI
                                    semiconductor
                                    materials controlled by 3C001, 3C002, 3C003, 3C004, or 3C0053 except crystal
                                    pullers,
                                    for which see X.B.I.001.b.1.c below","Оборудование, специально разработанное для очистки или обработки полупроводниковых
                                    материалов III/V и II/VI, контролируемое 3C001, 3C002, 3C003, 3C004 или 3C005,[1] за
                                    исключением кристаллических съемников, для которых см. X.B.I.001.b.1.c ниже",EU,Экспорт в РФ
8486,"Crystal pullers and furnaces, as follows:","Кристаллические съемники и печи, а именно",EU,Экспорт в РФ
8486,"Annealing or recrystallizing equipment other than constant temperature furnaces
                                    employing high rates of energy transfer capable of processing wafers at a rate
                                    exceeding
                                    0, 005 m2 per minute","Оборудование для отжига или рекристаллизации, отличное от печей с постоянной
                                    температурой, использующих высокие скорости передачи энергии, способные обрабатывать
                                    пластины со скоростью, превышающей 0, 005 м в минуту",EU,Экспорт в РФ
8486,"Stored program controlled crystal pullers having any of the following
                                    characteristics:
                                ","Управляемые программой кристаллические съемники, имеющие любую из следующих
                                    характеристик",EU,Экспорт в РФ
8486,Rechargeable without replacing the crucible container,Перезаряжаемый без замены тигельного контейнера,EU,Экспорт в РФ
8486,"Capable of operation at pressures above 2, 5 x 105 Pa or","Возможность работы при давлении выше 2, 5 x 105 Па или",EU,Экспорт в РФ
8486,Capable of pulling crystals of a diameter exceeding 100 mm,Способен вытягивать кристалы диаметром более 100 мм,EU,Экспорт в РФ
"848610, 848620, 848630","Stored program controlled equipment for epitaxial growth having any of the following
                                    characteristics:","Оборудование для эпитаксиального роста, имеющее любую из следующих характеристик:
                                ",EU,Экспорт в РФ
"848610, 848620, 848631","Capable of producing silicon layer with a thickness uniform to less than ± 2, 5 %
                                    across
                                    a distance of 200 mm or more","Способен производить слой кремния толщиной от равномерных до менее ± 2, 5 % при
                                    дистансе
                                    200 мм и более",EU,Экспорт в РФ
"848610, 848620, 848632","Capable of producing a layer of any material other than silicon with a thickness
                                    uniformity across the wafer of equal to or better than ± 3, 5 % or","Способен производить слой из любого материала, кроме кремния, с однородностью
                                    толщины по
                                    всей пластине, равной или превышающей ± 3, 5 % или",EU,Экспорт в РФ
"848610, 848620, 848633",Rotation of individual wafers during processing,Вращение отдельных пластин во время обработки,EU,Экспорт в РФ
9022900000,Molecular beam epitaxial growth equipment,Молекулярно-лучевое оборудование для эпитаксиального роста,EU,Экспорт в РФ
8486,"Magnetically enhanced sputtering equipment with specially designed integral load
                                    locks
                                    capable of transferring wafers in an isolated vacuum environment"," Магнитно усиленное напыляющее оборудование со специально разработанными
                                    интегральными
                                    замками нагрузки, способными передавать пластины в изолированной вакуумной среде
                                ",EU,Экспорт в РФ
848620900,"Equipment specially designed for ion implantation, ion-enhanced or photo-enhanced
                                    diffusion, having any of the following characteristics:"," Оборудование, специально разработанное для ионной имплантации, ионно-усиленной или
                                    фото-усиленной диффузии, имеющее любую из следующих характеристик:",EU,Экспорт в РФ
848620900,Patterning capability,Возможность создания шаблонов,EU,Экспорт в РФ
848620900,Beam energy (accelerating voltage) exceeding 200 keV,"Энергия пучка (ускоряющее напряжение), превышающая 200 кэВ",EU,Экспорт в РФ
848620900,"Optimised to operate at a beam energy (accelerating voltage) of less than 10 keV or
                                ","Оптимизирован для работы при энергии пучка (ускоряющем напряжении) менее 10 кэВ или
                                ",EU,Экспорт в РФ
848620900,Capable of high energy oxygen implant into a heated substrate,Способен высокоэнергетическим кислородным имплантатом в нагретую подложку,EU,Экспорт в РФ
"8456900000, 848620, 8486303000","Stored program controlled equipment for the selective removal (etching) by means of
                                    anisotropic dry methods (e.g., plasma), as follows:"," Хранимое программно управляемое оборудование для селективного удаления (травления)
                                    с
                                    помощью анизотропных сухих методов (например, пласма), а именно:",EU,Экспорт в РФ
"8456900000, 848620, 8486303000",Batch types having either of the following:,"Типы пакетов, имеющие одно из следующих значений:",EU,Экспорт в РФ
"8456900000, 848620, 8486303000","End-point detection, other than optical emission spectroscopy types or","a.Обнаружение конечных точек, кроме оптической эмиссионной спектроскопии виды или
                                ",EU,Экспорт в РФ
"8456900000, 848620, 8486303000","Reactor operational (etching) pressure of 26, 66 Pa or less","Рабочее (травильное) давление реактора 26, 66 Па и менее",EU,Экспорт в РФ
"8456900000, 848620, 8486303000",Single wafer types having any of the following:,"Одиночные типы пластин, имеющие любое из следующего:",EU,Экспорт в РФ
"8456900000, 848620, 8486303000","End-point detection, other than optical emission spectroscopy types","Обнаружение конечных точек, кроме типов оптико-эмиссионной спектроскопии",EU,Экспорт в РФ
"8456900000, 848620, 8486303000","Reactor operational (etching) pressure of 26, 66 Pa or less or","Рабочее (травильное) давление реактора 26, 66 Па и менее или",EU,Экспорт в РФ
"8456900000, 848620, 8486303000",Cassette-to-cassette and load locks wafer handling,Обработка пластин с кассетными и загрузочными замками,EU,Экспорт в РФ
8486301000,"Chemical vapor deposition (CVD) equipment, e.g., plasma-enhanced CVD (PECVD) or
                                    photo-enhanced CVD, for semiconductor device manufacturing, having either of the
                                    following capabilities, for deposition of oxides, nitrides, metals or polysilicon:
                                ","Оборудование для химического осаждения из паровой фазы (CVD), например, CVD с
                                    плазменной
                                    обработкой (PECVD) или фото-усиленное CVD, для изготовления полукондукторных
                                    устройств,
                                    обладающих любой из следующих возможностей, для осаждения оксидов, нитридов,
                                    металлов
                                    или поликремния:",EU,Экспорт в РФ
8486301000,Chemical vapor deposition equipment operating below 105 Pa or,"Оборудование Химическое осаждение из паровой фазы, работающее ниже 105 Па или",EU,Экспорт в РФ
8486301000,"PECVD equipment operating either below 60 Pa or having automatic
                                    cassette-to-cassette
                                    and load lock wafer handling","Оборудование PECVD, работающее либо ниже 60 Па, либо имеющее автоматическую
                                    обработку
                                    кассетно-кассетных пластин и пластин с блокировкой нагрузки",EU,Экспорт в РФ
"848640000, 848620900","Electron beam systems specially designed or modified for mask making or
                                    semiconductor
                                    device processing having any of the following characteristics:","Электронно-лучевые системы, специально разработанные или модифицированные для
                                    изготовления масок или обработки полупроводниковых устройств, имеющие любую из
                                    следующих
                                    характеристик",EU,Экспорт в РФ
"848640000, 848620901",Electrostatic beam deflection,Электростатическое отклонение пучка,EU,Экспорт в РФ
"848640000, 848620902","Shaped, non-Gaussian beam profile","Профилированный, негауссовский балочный профиль",EU,Экспорт в РФ
"848640000, 848620903",Digital-to-analog conversion rate exceeding 3 MHz,"Коэффициент цифро-аналогового преобразования, превышающий 3 МГц",EU,Экспорт в РФ
"848640000, 848620904",Digital-to-analog conversion accuracy exceeding 12 bit o,"Точность преобразования цифро-аналогового, превышающая 12 бит или",EU,Экспорт в РФ
"848640000, 848620905",Target-to-beam position feedback control precision of 1 micrometer or finer,"
                                    Точность
                                    управления обратной связью между целевым и лучевым микрометр или
                                    тоньше. ",EU,Экспорт в РФ
848620900,"Surface finishing equipment for the processing of semiconductor wafers as follows:
                                "," Поверхностно-финишное оборудование для обработки полупроводниковых пластин выглядит
                                    следующим образом:",EU,Экспорт в РФ
848620900,"Specially designed equipment for backside processing of wafers thinner than 100
                                    micrometer and the subsequent separation thereof or","Специально разработанное оборудование для обратной обработки пластин толщиной более
                                    100
                                    микрометров и последующего их разделения или",EU,Экспорт в РФ
848620900,"Specially designed equipment for achieving a surface roughness of the active surface
                                    of
                                    a processed wafer with a two-sigma value of 2 micrometer or less, total indicator
                                    reading (TIR)"," Специально разработанное оборудование для достижения шероховатости поверхности
                                    активной поверхности обрабатываемой пластины со значением двух сигм 2 мкм или менее,
                                    суммарное показание показателя (TIR)",EU,Экспорт в РФ
841989300,"Interconnection equipment which includes common single or multiple vacuum chambers
                                    specially designed to permit the integration of any equipment controlled by
                                    X.B.I.001
                                    into a complete system","Интерконнеционное оборудование, которое включает в себя общие одиночные или
                                    несколько
                                    вакуумных камер, специально разработанных для интеграции любого оборудования,
                                    управляемого X.B.I.001, в полную систему",EU,Экспорт в РФ
845611,"Stored program controlled equipment using lasers for the repair or trimming of
                                    monolithic integrated circuits with either of the following characteristics:"," Хранимое программно управляемое оборудование, использующее лазеры для ремонта или
                                    обрезки монолитных интегральных схем с любой из следующих характеристик:",EU,Экспорт в РФ
845611,Positioning accuracy less than ± 1 micrometer or,Точность позиционирования менее ± 1 микрометр или,EU,Экспорт в РФ
845611,Spot size (kerf width) less than 3 micrometer.,Размер пятна (ширина бордюра) менее 3 микрометров.,EU,Экспорт в РФ
848640,"Masks, mask substrates, mask-making equipment and image transfer equipment for the
                                    manufacture of devices and components as specified in the
                                    heading of X.B.I.001, as follows:","Маски, подложки для масок, оборудование для изготовления масок и передача
                                    изображения
                                ",EU,Экспорт в РФ
848640,"Finished masks, reticles and designs therefor, except:","Готовые маски, сетки и конструкции для них, за исключением:",EU,Экспорт в РФ
848640,"Finished masks or reticles for the production of integrated circuits not controlled
                                    by
                                    3A0011 or","Готовые маски или сетки для производства интегральных схем, не контролируемых 3A0011
                                    или
                                ",EU,Экспорт в РФ
848640,"Masks or reticles, having both of the following characteristics:","Маски или сетки, имеющие обе следующие характеристики",EU,Экспорт в РФ
848640,"Their design is based on geometries of 2, 5 micrometer or more and","Конструкция не включает в себя специальные функции для изменения предполагаемого
                                    использование с помощью производственного оборудования или программного обеспечения
                                ",EU,Экспорт в РФ
848640,"The design does not include special features to alter the intended use by means of
                                    production equipment or software","Конструкция не включает в себя специальные функции для изменения предполагаемого
                                    использование с помощью производственного оборудования или программного обеспечения
                                ",EU,Экспорт в РФ
848640,Mask substrates as follows:,Маскируйте подложки следующим образом:,EU,Экспорт в РФ
848640,"Hard surface (e.g., chromium, silicon, molybdenum) coated substrates (e.g., glass,
                                    quartz, sapphire) for the preparation of masks having dimensions exceeding 125 mm x
                                    125
                                    mm or","Твердая поверхность (например, хром, кремний, молибден) покрыта подложками
                                    (например,
                                    стеклом, кварцем, сапфиром) для приготовления масок размерами более 125 мм х 125 мм
                                    или
                                ",EU,Экспорт в РФ
848640,Substrates specially designed for X-ray masks,"Подложки, специально разработанные для рентгеновских масок",EU,Экспорт в РФ
848640,"Equipment, other than general purpose computers, specially designed for computer
                                    aided
                                    design (CAD) of semiconductor devices or integrated circuits"," Эквипмент, кроме компьютеров общего назначения, специально разработанных для
                                    автоматизированного проектирования (САПР) полупроводниковых приборов или
                                    интегральных
                                    схем",EU,Экспорт в РФ
848640,"Equipment or machines, as follows, for mask or reticle fabrication:","Оборудование или машины, как показано ниже, для изготовления масок или сеток:",EU,Экспорт в РФ
848640,"Photo-optical step and repeat cameras capable of producing arrays larger than 100 mm
                                    x
                                    100 mm, or capable of producing a single exposure larger than 6 mm x 6 mm in the
                                    image
                                    (i.e., focal) plane, or capable of producing line widths of less than 2, 5
                                    micrometer in
                                    the photoresist on the substrate","Фотооптические ступенчатые и повторные камеры, способные производить массивы
                                    размером
                                    более 100 мм х 100 мм, или способные производить одиночную экспозицию размером более
                                    6
                                    мм х 6 мм в плоскости изображения (т.е. фокальной) или способные производить линию
                                    шириной менее 2, 5 микрометра в фоторезисте на подложке",EU,Экспорт в РФ
848640,"Mask or reticle fabrication equipment using ion or laser beam lithography capable of
                                    producing line widths of less than 2, 5 micrometer or","Оборудование для изготовления масок или сеток с использованием ионной или лазерной
                                    лучевой литографии, способной производить линии шириной менее 2, 5 микрометров или
                                ",EU,Экспорт в РФ
848640,"Equipment or holders for altering masks or reticles or adding pellicles to remove
                                    defects","Оборудование или держатели для изменения масок или сеток или добавления пеллик для
                                    устранения дефектов",EU,Экспорт в РФ
848640,"Stored program controlled equipment for the inspection of masks, reticles or
                                    pellicles
                                    with:","Оборудование Stored program controlled для осмотра масок, сеток или пелликул с",EU,Экспорт в РФ
848640,"A resolution of 0, 25 micrometer or finer and","Разрешение 0, 25 мкм или тоньше и",EU,Экспорт в РФ
848640,"A precision of 0, 75 micrometer or finer over a distance in one or two coordinates
                                    of
                                    63, 5 mm or more","Точность 0, 75 мкм или тоньше на расстоянии в одной или двух координатах 63, 5 мм и
                                    более
                                ",EU,Экспорт в РФ
848640,"Align and expose equipment for wafer production using photo-optical or X-ray
                                    methods,
                                    e.g., lithography equipment, including both projection image transfer equipment and
                                    step
                                    and repeat (direct step on wafer) or step and scan (scanner) equipment, capable of
                                    performing any of the following functions:"," Выравнивание и экспонирование оборудования для производства пластин с
                                    использованием
                                    фотооптических или рентгеновских методов, например, литографического оборудования,
                                    включая как проекционное оборудование для передачи изображений, так и step и repeat
                                    (прямой шаг на пластину) или ступенчатое и сканирующее (сканерное) оборудование,
                                    способное выполнять любую из следующих функций:",EU,Экспорт в РФ
848640,"Production of a pattern size of less than 2, 5 micrometer","Изготовление рисунка размером менее 2, 5 мкм",EU,Экспорт в РФ
848640,"Alignment with a precision finer than ± 0, 25 micrometer (3 sigma)","Выравнивание с точностью более ± 0, 25 мкм (3 сигма)",EU,Экспорт в РФ
